Rank,Name,Net Worth,Num Worth,Age,Gender,Source,Country of Citizenship,What I Learned
#266,Philip & Cristina Green,$5.6 B,$5.60,64,Couple,fashion retail,United Kingdom,
#814,Vinod & Anil Rai Gupta,$2.5 B,$2.50,71,Couple,electrical equipment,India,
#328,Tom & Judy Love,$5 B,$5,78,Couple,retail & gas stations,United States,
#543,Dominika & Sebastian Kulczyk,$3.4 B,$3.40,-,Couple,diversified,Poland,
#132,Gianluigi & Rafaela Aponte,$9.5 B,$9.50,-,Couple,shipping,Switzerland,
#433,Stewart and Lynda Resnick,$4 B,$4,-,Couple,"agriculture, water",United States,
#677,Andrew & Peggy Cherng,$2.9 B,$2.90,-,Couple,restaurants,United States,
#1626,Alexandra Andresen,$1.2 B,$1.20,20,Female,investments,Norway,
#1626,Katharina Andresen,$1.2 B,$1.20,21,Female,investments,Norway,
#1405,Eva Maria Braun-Luedicke,$1.4 B,$1.40,29,Female,medical technology,Germany,
#1405,Friederike Braun-Luedicke,$1.4 B,$1.40,32,Female,medical technologies,Germany,
#834,Tatiana Casiraghi,$2.4 B,$2.40,32,Female,beer,Monaco,
#778,Caroline Hagen Kjos,$2.5 B,$2.50,32,Female,Orkla,Norway,
#193,Yang Huiyan,$7 B,$7,34,Female,real estate,China,
#1615,Johanna Braun,$1.2 B,$1.20,36,Female,medical technology,Germany,
#924,Julia Oetker,$2.2 B,$2.20,37,Female,consumer goods,Germany,
#1615,Anna Maria Braun,$1.2 B,$1.20,37,Female,medical technology,Germany,
#717,Yvonne Bauer,$2.8 B,$2.80,39,Female,media,Germany,
#867,Charlotte Soderstrom,$2.3 B,$2.30,39,Female,H&M,Sweden,
#412,Rahel Blocher,$4.3 B,$4.30,40,Female,chemicals,Switzerland,
#1367,Miriam Baumann-Blocher,$1.5 B,$1.50,41,Female,chemicals,Switzerland,
#1378,Ana Lucia de Mattos Barretto Villela,$1.5 B,$1.50,42,Female,banking,Brazil,
#1157,Lee Seo-Hyun,$1.8 B,$1.80,42,Female,computer services/tourism,South Korea,
#593,Isabel dos Santos,$3.3 B,$3.30,43,Female,investments,Angola,
#1833,Fatma Yazici,$1 B,$1,43,Female,Diversified,Turkey,
#1268,Jane Lauder,$1.6 B,$1.60,43,Female,cosmetics,United States,
#1080,Lee Boo-Jin,$1.9 B,$1.90,45,Female,computer services/tourism,South Korea,
#1100,Amy Wyss,$1.8 B,$1.80,45,Female,medical equipment,United States,
#1708,Cheng Xue,$1.1 B,$1.10,46,Female,soy sauce,China,
#203,Zhou Qunfei,$6.7 B,$6.70,46,Female,smartphone glass covers,Hong Kong,
#1155,Chu Lam Yiu,$1.8 B,$1.80,46,Female,flavorings,Hong Kong,
#1252,Aerin Lauder Zinterhofer,$1.6 B,$1.60,46,Female,cosmetics,United States,
#1813,Jane Yan,$1 B,$1,47,Female,software,China,
#413,Magdalena Martullo-Blocher,$4.2 B,$4.20,47,Female,chemicals,Switzerland,
#305,Milane Frantz,$5.2 B,$5.20,47,Female,pipelines,United States,
#1400,Sheryl Sandberg,$1.4 B,$1.40,47,Female,Facebook,United States,
#1141,Chen Jinxia,$1.8 B,$1.80,48,Female,investments,China,
#188,Sandra Ortega Mera,$7.1 B,$7.10,48,Female,Zara,Spain,
#388,Dona Bertarelli,$4.5 B,$4.50,48,Female,biotech,Switzerland,
#462,Denise Coates,$3.9 B,$3.90,48,Female,online gambling,United Kingdom,
#1245,Wang Laichun,$1.6 B,$1.60,49,Female,electronics components,China,
#1684,Fan Zhaoxia,$1.2 B,$1.20,49,Female,photovoltaic equipment,China,
#1336,Emanuella Barilla,$1.5 B,$1.50,49,Female,Barilla pasta,Italy,
#857,Dinara Kulibaeva,$2.4 B,$2.40,49,Female,banking,Kazakhstan,
#1291,Filiz Sahenk,$1.6 B,$1.60,49,Female,"bank, media",Turkey,
#983,He Qiaonv & family,$2.1 B,$2.10,50,Female,landscape architecture,China,
#1113,Maggie Magerko,$1.8 B,$1.80,50,Female,building materials,United States,
#542,Zhang Xin,$3.5 B,$3.50,51,Female,real estate,China,
#1729,Li Tan,$1.1 B,$1.10,51,Female,pharmaceuticals,China,
#1550,Ilona Herlin,$1.3 B,$1.30,51,Female,"elevators, escalators",Finland,
#403,Matthias Reimann-Andersen,$4.3 B,$4.30,51,Female,consumer goods,Germany,
#391,Wu Yajun,$4.4 B,$4.40,52,Female,real estate,China,
#1608,Zhu Chongyun,$1.2 B,$1.20,52,Female,apparel retailer,China,
#1724,Zhai Meiqin,$1.1 B,$1.10,52,Female,conglomerate,Hong Kong,
#46,Laurene Powell Jobs,$17.5 B,$17.50,52,Female,"Apple, Disney",United States,
#305,Dannine Avara,$5.2 B,$5.20,52,Female,pipelines,United States,
#1305,Anne Beaufour,$1.6 B,$1.60,53,Female,pharmaceuticals,France,
#271,Maria Asuncion Aramburuzabala,$5.5 B,$5.50,53,Female,"beer, investments",Mexico,
#1163,Alexandra Daitch,$1.8 B,$1.80,53,Female,Cargill,United States,
#1119,Heloise Waislitz,$1.8 B,$1.80,54,Female,packaging,Australia,
#37,Susanne Klatten,$19.9 B,$19.90,54,Female,"BMW, pharmaceuticals",Germany,
#427,Pansy Ho,$4.1 B,$4.10,54,Female,casinos,Hong Kong,
#145,Margarita Louis-Dreyfus,$8.8 B,$8.80,54,Female,commodities,Switzerland,
#80,Abigail Johnson,$13.1 B,$13.10,54,Female,money management,United States,
#366,Tamara Gustavson,$4.7 B,$4.70,54,Female,self storage,United States,
#426,Gwendolyn Sontheim Meyer,$4.1 B,$4.10,54,Female,Cargill,United States,
#831,Jean (Gigi) Pritzker,$2.4 B,$2.40,54,Female,"hotels, investments",United States,
#536,Angela Leong,$3.5 B,$3.50,55,Female,casinos,Hong Kong,
#304,Randa Williams,$5.2 B,$5.20,55,Female,pipelines,United States,
#1660,Nicola Leibinger-Kammueller,$1.2 B,$1.20,56,Female,inherited,Germany,
#1704,Susanne Veltins,$1.1 B,$1.10,56,Female,beer,Germany,
#1163,Lucy Stitzer,$1.8 B,$1.80,56,Female,Cargill,United States,
#1854,Nancy Lerner,$1 B,$1,56,Female,finance,United States,
#274,Vivien Chen,$5.4 B,$5.40,57,Female,real estate,Hong Kong,
#485,Winnie Johnson-Marquart,$3.7 B,$3.70,57,Female,cleaning products,United States,
#852,Penny Pritzker,$2.4 B,$2.40,57,Female,"hotels, investments",United States,
#612,Alexandra Schorghuber,$3.2 B,$3.20,58,Female,real estate,Germany,
#466,Pollyanna Chu,$3.8 B,$3.80,58,Female,financial services,Hong Kong,
#1226,Cui Lijie,$1.7 B,$1.70,58,Female,gambling,Hong Kong,
#409,Karen Pritzker,$4.3 B,$4.30,58,Female,"hotels, investments",United States,
#1709,Cheung Yan,$1.1 B,$1.10,59,Female,paper,China,
#709,Hanni Toosbuy Kasprzak,$2.8 B,$2.80,59,Female,shoes,Denmark,
#1254,Leena Tewari,$1.6 B,$1.60,59,Female,pharmaceuticals,India,
#406,Shari Arison,$4.3 B,$4.30,59,Female,Carnival Cruises,Israel,
#766,Eva Maria Bucher-Haefner,$2.6 B,$2.60,59,Female,Computer Associates,Switzerland,
#481,Helen Johnson-Leipold,$3.7 B,$3.70,59,Female,cleaning products,United States,
#1181,Carol Jenkins Barnett,$1.7 B,$1.70,59,Female,Publix supermarkets,United States,
#1825,Andrea Reimann-Ciardelli,$1 B,$1,59,Female,consumer goods,United States,
#1574,Ana Maria Marcondes Penido Sant'Anna,$1.3 B,$1.30,60,Female,toll roads,Brazil,
#1717,Lee Hwa-Kyung,$1.1 B,$1.10,60,Female,snack foods,South Korea,
#1595,Maria Del Pino y Calvo-Sotelo,$1.2 B,$1.20,60,Female,construction,Spain,
#775,Pat Stryker,$2.5 B,$2.50,60,Female,medical equipment,United States,
#1163,Katherine Tanner,$1.8 B,$1.80,60,Female,Cargill,United States,
#986,Bernardo Matte,$2.1 B,$2.10,61,Female,paper,Chile,
#1116,Sylvia Stroeher,$1.8 B,$1.80,61,Female,cosmetics,Germany,
#1121,Gudrun Heine,$1.8 B,$1.80,61,Female,medical devices,Germany,
#1139,Hedda Brahm Droege,$1.8 B,$1.80,61,Female,Consulting,Germany,
#982,Maja Oeri,$2.1 B,$2.10,61,Female,Roche Holding,Switzerland,
#114,Gina Rinehart,$10.7 B,$10.70,62,Female,mining,Australia,
#819,Regina de Camargo Pires Oliveira Dias,$2.5 B,$2.50,62,Female,construction,Brazil,
#1846,Patricia Angelini Rossi,$1 B,$1,62,Female,"forestry, mining",Chile,
#688,Daniela Herz,$2.8 B,$2.80,62,Female,coffee,Germany,
#75,Charlene de Carvalho-Heineken,$13.3 B,$13.30,62,Female,Heineken,Netherlands,
#905,Alicia Koplowitz,$2.3 B,$2.30,62,Female,"construction, investments",Spain,
#437,Ronda Stryker,$4 B,$4,62,Female,medical equipment,United States,
#687,Oprah Winfrey,$2.8 B,$2.80,62,Female,TV shows,United States,
#1147,Linda Pritzker,$1.8 B,$1.80,62,Female,"hotels, investments",United States,
#1163,Sarah Chaney,$1.8 B,$1.80,62,Female,Cargill,United States,
#1107,Kiran Mazumdar-Shaw,$1.8 B,$1.80,63,Female,biotechnology,India,
#495,Marianne Liebmann,$3.7 B,$3.70,63,Female,Cargill,United States,
#242,Kirsten Rausing,$6 B,$6,64,Female,packaging,Sweden,
#748,Anita Zucker,$2.6 B,$2.60,64,Female,chemicals,United States,
#1680,Martha MacMillan,$1.2 B,$1.20,64,Female,Cargill,United States,
